RU;99;1604;TransparentCalls;0.71;139;19;6
US;23;669;E-Voice;0.61;332;51;12
GB;63;1326;TransparentCalls;0.68;914;55;9
FR;90;1157;TransparentCalls;0.74;417;35;19
BL;70;781;E-Voice;0.84;641;78;32
AT;95;1669;TransparentCalls;0.80;512;40;7
BG;76;1251;E-Voice;0.78;130;66;20
DK;69;205;JustPhone;0.85;691;59;28
CA;29;1426;JustPhone;0.68;576;87;4
ES;12;480;E-Voice;0.62;811;88;48
CH;9;369;JustPhone;0.87;864;2;43
TR;34;176;TransparentCalls;0.67;283;20;59
PE;59;367;JustPhone;0.78;24;7;3
NZ;43;399;JustPhone;0.70;693;67;9
MC;97;887;E-Voice;0.95;486;38;48
